INDEX,TICKER,YEAR,QUARTER,BPS,CPS,CPX,CSH,DPS,EBI,EBS,EBT,ENT,EPS,FFO,GPS,GRM,NAV,NDT,NET,OPR,PRE,ROA,ROE,SAL,CAR
1,0,2014,2,9.97,,,,0,-1.473,,,,0.12,,0.45,,697.468,,8.621,-5.399,-5.399,0.69,5.25,64.141,0.008467
2,0,2014,3,10.3068,,,,,12.258,,,,0.27,,0.27,,726.125,,20.606,,16.36,1.5,11.58,66.427,0.005102
3,0,2014,4,10.59,,,,0.01,30.928,,,,0.26,,0.26,,,,19.515,,29.419,1.36,10.56,,0.023569
4,0,2015,1,10.8,,,,0.01,19.199,,,,0.16,,0.16,,761.607,,12.502,,16.205,0.85,6.63,67.297,-0.00112
5,0,2015,2,10.63,,,,0.01,17.29,,,,0.12,,0.12,,753.853,,9.437,,13.878,0.62,4.97,72.466,0.005808
6,0,2015,3,10.6,,,,,26.796,,,,0.23,,0.23,,766.406,,17.548,,25.727,1.11,9.26,71.707,-0.001722
7,0,2015,4,10.81,,,,0.01,27.16,,,,0.27,,0.27,,714.768,,20.035,,26.46,1.23,10.96,74.989,-0.007421
8,0,2016,1,10.97,,,,,33.715,,,,0.4,,0.19,,725.215,,28.386,,38.298,1.73,15.77,81.953,-0.014781
11,1,2014,1,,0.81,504,,,159,,334,,0.2,,0.25,,2937,,41,,74,,,505,-0.058631
12,1,2014,2,,0.94,459,,,32,0.97,230,,0.18,,-0.38,,3520,3933,43,,63,,,390,-0.002766
13,1,2014,3,,1.09,529,,,158,1.53,374,,0.23,,-0.49,20.65,3404,4218,50,,78,,,276,-0.020299
14,1,2014,4,,1.71,533,,,183,1.68,411,,0.24,,1.25,,3713,4358,58,,107,,,953,-0.017129
15,1,2015,1,17.68,1.15,512,,,157,1.62,398,,0.22,,2.6,,4348,4576,55,,75,,,1479,0.027716
16,1,2015,2,17.57,1.23,432,,,121,1.41,345,,0.13,,0.08,,4372,4717,31,,48,,,493,0.01248
17,1,2015,3,16.74,1.11,372,,,148,1.64,401,,0.17,,-0.87,,4164,4864,42,,67,,,545,0.001422
18,1,2015,4,17.52,1.95,399,,,179,1.8,439,,0.26,,0.72,,4345,4903,64,,95,,,753,-0.032281
19,1,2016,1,2.496,1.42,230,,,168,1.74,425,,0.22,,-15.29,,619,4786,53,,87,,,473,0.073882
20,1,2016,2,893.75,1.21,179,,,-36,0.31,77,,0.19,,0.38,,715,4473,47,,76,,,224,-0.058517
21,1,2016,3,3.1032,0.43,79,,0,-108,-0.04,-11,,0.21,,0.25,,782,3890,50,,81,,,100,-0.025606
22,1,2016,4,930,1.03,140,,,10,0.58,142,,0.1,,-0.18,,744,3756,24,,38,,,255,-0.022125
23,1,2017,1,2.4143,0.51,135,,,135,1.04,255,,0.12,,-0.57,,606,3769,32,,45,,,188,-0.022181
24,1,2017,2,2.1804,0.48,119,,,89,,215,,-0.1,,-0.19,,556,3829,-25,,-36,,,327,0.00422
25,1,2017,3,2.1922,0.26,147,,,41,,165,,-0.1,,-0.01,,559,3902,-23,,-28,,,296,-0.023071
26,1,2017,4,1.93,0.48,139,,,33,,151,,-0.12,,-0.29,,491,3933,-31,,-47,,,219,0.024583
27,1,2018,1,1.5556,0.313,136,,,31,0.736,181,,-0.07,,-0.29,,392,4016,-18,,-25,,,224,-0.074145
28,1,2018,2,,0.352,396,,,62,0.74,182,,-0.07,,0.07,,410,4085,-16,,-19,,,286,0.055864
31,4,2014,2,15.11,,,,0.18,,,,,0.21,,0.21,,151.14,,1.927,,2.006,,2.79,3.797,-0.006398
32,4,2014,4,,,,,,,,,,,,0.02,,,,2.893,,,,,4.554,0.009044
33,4,2015,1,14.42,,,,,,,,,-0.14,,-0.14,,144.235,,-1.426,,,,2.59,4.832,0.004913
34,4,2015,2,,,,,,1.611,,,,0.38,,0.38,,145.126,,3.791,,,,,4.741,-0.006687
35,4,2015,3,14.54,,,,,3.276,,,,0.32,,0.32,,145.363,,3.158,,3.276,,8.7,4.88,0.019845
36,4,2015,4,13.53,,,,,3.377,,,,-0.72,,-0.72,,135.256,,-7.198,,3.377,,-5.13,4.987,-0.013374
37,4,2016,1,11.79,,,,,3.134,,,,-1.44,,-1.44,,117.929,,-14.417,,3.134,,-11.39,4.636,-0.015376
38,4,2016,2,,,,,0.29,2.905,,,,0.22,,0.22,,117.187,,2.168,,2.905,,7.38,4.345,0.004383
39,4,2016,3,,,,,,2.843,,,,1.03,,1.03,,,,10.268,,2.843,,8.5,4.272,0.001306
42,000R,2014,1,,,0.351,,,-3.891,,-2.356,,-1.16,,-1.16,78.44,,,-3.646,,-3.864,,,22.511,-0.010297
43,000R,2014,2,,,,,,-12.313,,,,-0.71,,-0.71,,,,-15.548,,-15.059,,,,-0.021834
44,000R,2014,3,,-0.15,,,,-9.633,,-8.374,,-0.32,,-0.32,77.89,,,-9.875,,-9.566,,,25.836,-0.01684
45,000R,2014,4,,-0.15,0.478,,,-14.987,,-8.685,,-0.46,,-0.46,71.51,157.209,,-14.453,,-15.631,,,32.054,-0.027186
46,000R,2015,1,,-0.34,2.16,,,-1.001,,0.543,,-0.04,,-1.28,71.1,118.05,,-1.166,,-1.524,,,33.552,0.027418
47,000R,2015,2,,-0.18,3.272,,,-8.688,,-7.062,,-0.33,,-0.38,79.76,106.289,,-10.439,,-9.879,,,35.12,0.02461
48,000R,2015,3,,-0.16,,,,-5.107,,-3.665,,-0.16,,-0.23,74.34,100.869,,-4.965,,-4.62,,,35.653,0.025357
49,000R,2015,4,,0.14,,,,-5.166,,-3.871,101.863,-0.18,,-0.54,73.66,85.272,,-5.748,,-5.489,,,38.893,0.035289
50,000R,2016,1,,0.2,0.109,,,5.126,,6.329,,0.14,,0.05,84.47,88.252,,4.805,,,,,40.5,0.002271
51,000R,2016,2,,0.09,0.026,,,2.535,,1.575,,0.01,,0.2,81.56,94.684,,0.303,,,,,39.266,0.008859
52,000R,2016,3,,0.095,,,,-0.25,,1.002,,-0.03,,-0.11,80.05,93.31,,-0.999,,,,,38.184,-0.001615
53,000R,2016,4,2.1198,0.04,0.068,,,0.955,,1.774,,0.02,,-0.06,79.42,107.953,,0.556,,,,,40.791,0.011837
54,000R,2017,1,,0.14,0.092,,,8.321,,9.051,,0.2,,0.12,80.49,114.609,,7.137,,,,,43.513,0.001141
55,000R,2017,2,,0.12,0.271,,,2.444,,3.127,,0.07,,0.01,79.79,70.129,,2.533,,2.745,,,43.366,0.019364
56,000R,2017,3,,0.18,,,,1.946,,2.608,,0.11,,0.03,78.81,123.225,,4.022,,2.954,,,41.972,0.019766
57,000R,2017,4,,0.27,0.179,,,5.586,,6.146,,0.18,,-0.01,78.076,127.275,,6.845,,,,,44.536,-0.026121
58,000R,2018,1,,0.03,0.226,,,10.796,,11.409,,0.32,,0.19,80.6,89.461,,12.081,,11.078,,,44.216,0.001301
59,000R,2018,2,,0.25,,,,5.96,,6.729,,0.19,,0.05,80.18,96.776,,7.267,,6.522,,,47.325,0.010579
62,000V,2014,1,,,,,,,,,,-116.55,,-119.25,,,,,,,,,,0.049428
63,000V,2014,2,,,,,,-6.924,,,,-8.7,,-9,,,,-6.979,,-6.979,,,,-0.068879
64,000V,2014,3,,,,,,,,,,,,-5.7,,,,,,,,,,-0.058393
65,000V,2014,4,,-4.5,,,,-8.131,,,,-6,,-6,,,,-8.358,,-8.358,,,,0.070418
66,000V,2015,1,,-6.6,,,,-10.958,,,,-7.5,,-7.5,,,,-11.341,,-11.341,,,0,0.015974
67,000V,2015,2,,,,,,-16.297,,-16.221,,-10.65,,-10.65,,,,-16.746,,-16.746,,,0,-0.000185
